sentence1	sentence2	label
生份信息输入错误多了申请不了的啊？	关闭手机，重新打开，微粒贷的入口还是没有了，	0
为什么我的没通过	为什么贷款不成功	1
正月还款能延迟几天么	本金3000元逾期一天需要还多少钱	0
为什么借代不成功,	我想知道借款失败的原因	1
不知道什么时候才对我开放，都等到花都谢	几号开放	1
提前还款利息会少算吗	结清证明如何开	0
扣款银行卡，注销	你好，我不想借钱了，怎么才能撤销	0
全部结清是否还能再借款	提前还款了还可以在贷不	1
我想知道借款失败的原因	微粒贷失败的原因	0
1500分二十个月还完。一个月要还多少	一千一个应该还多少利息	0
你们没有扣款	你好为什么没有扣款呢	1
我今天登陆不上了，它提示我网络没链接，但是我连上了	微信登录不了已经有一下多星期了	1
怎么我今天借款。到下个月18号就有50的利息。是怎么算出来的	上个月已经借了一千元，然后这个月再借两千元，利息怎么算？	1
您好，我想关闭微粒贷，可以吗？	给我关了微粒贷，谢谢	1
为什么我还显示不出微粒贷	为什么还款了没有额度	0
开通了都没有额度吗	开通无额度	1
5000日息0、05也就是多少钱	6000元一个月要多少息	0
我手机怎么不能	手机里面没有	1
活动	苹果7	0
未满足审批要求，怎么回事	怎么显示未达到微众银行审批要求	1
为什么今天自动还款还没有扣？	22日已存入农行卡中，为何扣款失败？	0
绑定的银行卡如何修改	怎样重新绑定	1
我注销过微信支付功能，现在微信里没有微粒贷图标咋办？	不能用做什么用途	0
你好，单笔只能借4万嘛？	一笔最多多少金额	1
还有问题呢。我不可以主动还款?	为什么我卡里有钱，但是提示自动扣款失败？	1
怎么五点前都没扣我钱	我的收款招商银行，5分钟了还没到账，平时都很快的	0
一般要等几天	一般几天会打电话给我	1
贷款合同	怎么查看合同	1
为什么会不支持借款	为什么我还有借款额度却借不出钱？	0
.开通	我想申请	0
开通不	开通、借款、还款	0
为什么没有显示微利贷	微粒贷消失	1
亲，能不能部分还款	还款过后怎么金额没得改变	0
以前借了的，现在看不到额度了	为什么邀用户但是没额度	0
为什么我不能用微粒贷	咋不邀请我	1
如何获得微粒贷邀请	如何被微粒贷邀请	1
为什么会为满足微众银行审批要求	为满足微众银行要求是为什么	1
怎么还不打电话我更换还款银行？	怎么变更还款	0
你好，我银行卡的预留电话已经变更，但为什么发验证码的时候还发到原来的号码哪里？	为啥我收到短信验证码以后一点下一步就卡出去了？	0
为什么我的没有开放？	为什么还是不能开通	1
我现在不能还款怎么办？	为何以前能借现在不能借了，我都准时还款没有逾期	0
要多旧才可以到账	正常要多久才到帐呢！亲	1
我要降低额度怎么操作	一笔钱全部还完额度会不会减少	0
综合评分不足	受邀了，却评分不足	0
如何换自动还款的卡号	2月7日会自动扣款吗	0
我要更换手机号	如何更改验证的电话号码？	1
两小时过去还没电话审核	一般什么时候能收到电话确认借款？	0
可以帮我打份贷款还清凭证吗？	如何开具结清证明？	0
为什么开通不了	为什么我今天借款失败？	1
上午借款申请，到这没有电话确认？	下午一般几点钟有审核电话	0
17点还没有扣款	余额够为什么扣款不成功	0
怎么修改还款银行帐号	怎么更改工资卡还款	1
借款能提现不？	借来的钱可以直接提现吗	1
关闭微粒贷再次开通	重新启用微粒贷能查以前记录吗	0
逾期还款会影响征信吗	还款延迟一天有影响吗	0
怎么显示身份信息输入错误？	身份信息出现错误	1
不能用于？	借款可以用来转账吗	0
哟的QQ里怎么没有微立贷	QQ也是没有	1
几点可以给客服打电话	你们客服电话几点上班	1
为什么我开不了户口的	为什么我开户办不了？	1
为什么我未满足微众银行审批	未满足微众银行审批是什么意思	1
不知道怎么还款	有微粒贷之前可以用但现在钱还完了就不能用	0
逾期1天	推迟一天	1
2个小时还没有联系我呢？	一个小时了还没有联系我	1
没接到电话	请继续打电话昨晚未接到电话	1
我有一笔借款正在等银行电话，怎么取消	可以取消微粒贷款吗	1
你电话多少	联系电话是多少？	1
怎样改金额分几次还款	能不能改还款金额	1
我明明高价卖低价买却赔钱了	明明赚钱为什么会赔钱	1
我要降低额度	如何把贷款额度降低	1
请问可提现不	能提现出来？	1
5000元利息是多少	借款	0
今天是还款日，扣不了不会逾期吧？	你们还款日早上就扣款？	1
借款几次都是请求失败，是什么意思	我输入证件号对的，系统为什么说错的，借钱失败，是不是以后都不能借了?	0
我是今天借的款，明天后天就可以归还可以麽？	可以支付宝取现吗？	0
微粒贷属于哪家银行	中国银行可以吗	0
客服电话是什么号啊	咨询电话	1
怎么我没微粒贷图标	微粒贷搬到那里去了	1
不清楚什么时候开放	为什么关注了微粒贷但没有入口	1
一万块钱一个月多少利息	利息是多少	1
一万元借5个月共多少利息？	可以借款吗可以借多少款	0
为什么说什么身份证后4位输入多次错误？	为什么会有身份证输入错误次数过多？	1
不能贷	不可以贷吗？	1
为什么我的微粒贷还没有到账	亲我明天申请这个钱明天能到账吗？	0
刚才申请的微粒贷，说我身份信息输入错误次数太多	请求信息非法	0
不是就不能贷	QQ有微粒贷	0
上午申请的2500贷款请帮我取消，同事开玩笑瞎搞的。谢谢	借款后能不能取消	0
克服电话是多少	你好客服电话是？	1
那怎么还不打么？	那你门还有别的贷款联系方式吗	1
你好，请问如果今天借11000，然后后天还钱，利息要多少呢	我今年9月份借贷2万，10个月利息1600多，然后现在10份再借贷2万，10个月利息要1900多了，怎么增加了	1
为什么我申请了借钱，不成功？	为什么我的还有额度却借不出来了	0
我的银行卡有钱了怎么还没有扣	人工服务	0
你好，我的贷款提前还了，我买房需要一份贷款结清证明，你能提供给我吗	你好，请问我提前还清可以提供结清证明吗？	1
被降额度	减少额度可以吗	0
你好，贷款能出结清证明吗	开还款证明	1
我的微粒贷消失了	没有了	1
多久会提升	多久	1
我在微信里找不到借钱	如果Q号或者微信号被盗了，资金不就危险了？	0
我的微众怎么不能登陆了	我今天登陆不上了，它提示我网络没链接，但是我连上了	1
你好，我的审批怎么没通过	为什么在比失败？	0
什么时候才能开始借款？	一笔借款还清多久后，额度多久会恢复？	0
多会儿能下款	多少天	1
我已经在app绑定了	微信和QQ得先绑定卡对吗	0
如何解除绑定银行卡	为什么开通不了，说银行卡或手机号码不对？明明都是对的啊	0
不需要借了	借款如何取消	1
请问即将推出什么产品？	下星期有产品吗	1
3#问题都没解决，满意什么	1是第1个问题啊	0
有限制	我今天转入时，有一行黄色字体提醒有限制额度	0
我能借4万，却说是输入身份证次数多？	怎么输入身份证最后四位数字，还不能用	0
你好！我想问问什么时候还第一个月的利息	什么时候还钱不要利息	0
怎么样才能通过审批	没有通过审批	1
最低借款额度是多少	欠款一次性还清，额度是实时恢复吗	0
苹果手机啥时侯能用	苹果系统怎么代款？	0
、我想申请微粒贷	办微粒货借钱要申请	1
怎么计算利息	你好，利息怎么算的？	1
怎么操作	那要怎样操作	1
借了两次都失败为什么？	为什么借不出来	1
打开钱包没有微立贷	我手机钱包里怎么没有微粒贷？	1
而你能做的就是给我提高额度	额度不够怎么办	1
我每月银行流水二到十万，可以优先受邀吗	贷2000分5期返现！每月应还多少？	0
亲，我怎么没通过微粒贷？	微粒怎么进不了啊。	1
微粒贷怎么还没开放	微粒贷怎么才能被邀请开通	0
申请降低额度	我的额度能降低吗？	0
罚金计算法	罚息	1
如何删除微粒贷的图标	怎样取消申请微粒贷？	0
两次扣款失败，我刚看到冲钱到卡里了。没有人工还款的吗？	我贷款一千一天要多少息	0
怎么计算	比如我借18000..1个月内还完..利息多少？	1
1.看不到微粒贷图标	关键是没有微粒贷啊	1
怎么撤销借款	怎么才可以把借款申请取消？	1
我要关掉微粒贷	我想关闭微粒贷，我从未借过款	1
微粒贷怎么还不开通呢？	如何申请货款	0
开通需要什么条件	当天申请较晚通常是几点	0
不符合微粒贷要求	不符合借款要求是什么意思	1
一万是多少钱一天	19000块一天利息多少钱我这个19000的额度不会消失吧	1
不通过什么原因	为啥没通过	1
为什么我不能查看额度？	为什么微贷没有额度提升	0
要等多久才能有电话确认	申请多久会打电话	1
苹果系统上没有微粒贷	苹果版微信开通不了？	1
不扣款啊	19号的款怎没扣？	1
借款	微粒贷自动还款	0
开通微粒袋	/撇嘴/撇嘴/撇嘴怎么开通微粒贷啊？	0
什么时候可以微粒借钱	什么时候可以借钱给我？	1
可以取消吗	暂时被冻结	0
什么时候可以用微粒货借钱	一个账号能借几次	0
我没有微粒贷怎么办	2:如何借款	0
什么时候可以继续贷款	借款时间限制	0
每天限额多少，最顿一天转多少	请问一下，微众转到银行卡有没有限额？	1
为什么会出现综合评估未通过	为什么会评估没通过	1
因为什么没有很粒货	借款成功后电话没打	0
请问我进入钱包，银行卡，那个借钱在哪里？？	请问为什么我点击进去后显示无法借钱呢	0
为什么借款一直失败	为什么会贷款失败？	1
客服电话是什么号啊	官方电话是多少？	1
全额还款后可以继续借款吗	不能主动还款么	0
不借了，怎麼退	不想借款了，怎么撤销	1
可是微信红包没找到微粒贷这个项目	我一直都良好使用记录啊，怎么我就没有这微粒贷呢有疑问	1
5000一个月利息是多少	计息	0
借贷的钱能够提现吗	我借到款项可以提现出来吗	1
电话确认没有接到会继续打电话吗？	审核电话没有接到怎么办	1
开通还欠缺哪些条件	开通借款结款	0
QQ与微信上的微粒贷额度是同等的嘛	为什么我手机QQ有微粒贷，微信客户端没有？	0
不想要这些服务	不要就说这个	1
你好零钱为什么不能还款？	你好，是零钱还，还是银行卡还？	0
消费那么多怎么没名额	我微信钱包流水不错啊	0
借款失败电话忽律	我为什么会借款失败啊，什么原因	1
什么时候可以开始借钱了	23点以后可以借款吗？	0
我的还清证明开出来了吗	第一笔还清以后多久能申请第二笔款项	0
我昨天微粒贷还款日	两个卡交替时又出现点状况，今天12点前会还清	0
你好为什么我审核不通过	为啥给我审批不过啊！	1
10000元最多可以分几期还？	10000借一个月，一个月后还多少钱？	0
为什么绑定失败？	全部正确，为什么开户不成功	0
一个月一还可以吗	一个月也可还吧	1
借款审核未通过，什么原因	是不是因为我条件不符合	0
无法满足审批要求	为什么总是综合评估未通过	0
何時會邀請我使用微粒貸為什麼沒有微粒貸	为什么我的微信上还没有出现微米粒	0
手机qq和微信的微粒贷一样吗	我要问的是我微信开通了微粒贷是不是qq钱包就开通不了了	1
多会到呀	可能提前还款吗	0
借款我可以取现金吗？	能不能取现	1
我微信里没有，微粒贷。	我想体验微粒贷产品	0
你好！我能申请晚还款吗？	为什么你们逾期的客户都给微粒贷，而我们信用良好的却不给	0
你好，暂时先取消借款吧，谢谢	不想借了，怎么退	1
又不开通，推送内容给我有啥用	我的手机怎么没有开通微粒贷	0
短信验证码校验失败	你好我的微粒贷上显示可以借款但是在操作时有个支付密码验证填完后发来验证码但是手机页面没有跳到输入验证码的地方借不了钱是为什么	0
本来还以为很快，结果电话都要等几小时。那如何取消借款	能否取消授权	1
我朋友的手机没有	我是苹果5的，可没借钱功能	1
提前还款了什么时候能再次借	还款日当天存钱	0
你帮我算下我贷了20000，20个月，要多少利息	借5000分20期，怎么算？	1
不能一个月还清的吗	一次还清能马上恢复额度？	0
/亲亲能给个微粒贷吗	微信上有微粒贷	0
是否可以改动还款日	你好，我想调整还款日期可以吗	1
一进去就说不符合，你倒是给个说法！	为什么我不能满足审批要求	1
预期罚息和利息	逾期利息	1
iPhone7抢购活动	17号还有没有抢购苹果7啦	0
银行电话什么时候打？	大概多久才会打电话过来核实身份呢？	1
审批速度	几天可以审批	1
请问借款期限是多长时间	结款期限	0
借款后一般多久接到电话通知	一般借钱后多长时间银行会打电话确认验证？	1
微粒袋不能用于购房	为什么有的人有这功能了	0
逾期罚金	超期了没还怎么办	0
怎么删掉微信的微粒贷我不需要了	微粒贷能关闭吗	1
刚才没接到您的电话	啥时候再打确认电话～第一个没接到	1
为什么借款宗合平分不足是怎么回事	为什么我没通过	1
为什么我审核都是不通过？	为何提示我审核不通过？	1
怎么退出来	电话停机怎么办	0
取消我借款账户	取消微粒贷申请，我只是试验一下	1
借完款后没有额度了，还可以再申请嘛？	钱不够用怎么办	1
怎么没有扣款啊！	我问我有一笔还款昨天为何没有扣款？	1
如果开具还款凭证	今天还清了。可以马上再申请不？	0
我现在好需要钱	会乱扣费吗？	0
如果现在借款，十五分钟后未到帐，明天就不想借了，能取消吗	现在还没有批下来能否取消贷款	1
怎样才可以通过评估呢	怎么可以通过审批	1
卡号变更了更换了银行卡怎么处理？换卡	换卡不了怎么回事	0
可以换现在捆绑的这张卡还款吗？	之前绑定的卡已经不存在了，	1
财付通怎么绑定	要不要绑定银行卡	0
我想贷可是找不到地方	可以截图吗，找不到	1
三天了电话还没打来	一直无收到电话	1
为啥我没微粒贷图标	这个微粒贷，是不是QQ上那个	0
我今天的还款为什么还没有进行	最后一次扣款会在什么时候	1
我的5期账单	我需要对账单	1
开贷款结清证明	您好，微信贷款我已还清，可银行那边要我这边有个结清证明	1
借款是否可以取现？	能不能取现	1
绑定银行卡信息不匹配是怎么回事？	绑定卡可以贷款吗	0
请问为什么显示我可以借25000元，可是总显示身份输入错误次数过多，无法借款？	就是提示我输入个人信息错误多次不能借钱	1
你好麻烦给我打个还清证明	你好，可以给我发送一个本人微粒贷借款已经结清的证明不？	1
还款记录也一样	在哪里能找到还款记录表	0
红包	发个红包	1
什么时候我才能邀请？	什么时候邀请我得微粒贷啊？	1
可从微信余额里还款吗	还是打注册微信的手机号	0
登录不了怎么办？	我现在通过微信登录登录不了，只能通过qq登录，之前打电话问过客服，客服讲是后台的问题，那么我想问，如果万一qq已登录不了了话，我们还怎么操作？	1
之前借钱的手机号换了	如果还有贷款未还清，可以更换手机号吗	0
何时会邀请我加入微粒贷	怎么才是微粒贷邀请户呢	0
为什么又不通过	为什么我一直无法申请成功？	0
为何我朋友手机有	为什么有些手机有，有些没有啊	1
今天怎么还没有扣款	我卡上有钱，怎么总是扣款失败？	0
可以开结清证明么	你好我把款還清之后能開結清證明嗎	1
你有办法帮我吗	能不能帮忙给个使用权限啊	0
你好，我现在还款你们可以开结清证明么	还款后是否有结清证明	1
我想用，但是提示我无法通过	怎么货不了	1
填写那资料啊	信息提交了	0
不满足微粒贷审批	不满足审批要求怎么办	0
想出具已结清证明	如何结清证明	0
和周未的区别	是不是骗钱啊	0
逾期了一天怎么办	有免息期吗	0
我的已经还款了，怎么还显示没成功	邀请好友怎么不成功	0
如何退贷	刚才申请了一次借款如何取消	1
为什么还款了！恢复不了额度？	借了还款期多久	0
借据	往期账单	1
多久才算违约？	我会不会有逾期记录	0
怎么注销账号	快点关了吧	1
为什么我的没有微粒贷的？可以申请微粒贷的吗？	我什么时候才可以有微粒贷	0
怎么样才会符合审批要求	没有通过微众银行的审批要求	1
那如何取消呢	那就算了！怎么取消呀？	1
亲怎么没有	不在钱包	1
如果还清以后需要结清单怎么办	你好，我借的钱提前还清了，有结清证明吗	1
刚刚给我打电话没有接到	为何没人员联系？	1
为什么当月还款已还额度没有恢复	为什么扣了三期还没有恢复额度	1
好久开÷放	申批要多久	0
不是23日零点自动从银行卡内扣除，怎么到现在还没扣呢	为什么今天扣款日还没扣款	1
11点多就打款了怎么还没到帐啊	15分钟内到账，但是我还没有接到电话确	0
1.借款失败原因	为什么我还款了确借不出来了	0
一般电话确认要等多久	没有人打电话过来，怎么说没人接	0
我的手机怎么打不开贷款	你好，刚刚手机没听到，手机静音了	0
我的借款好像没有正常扣款	为什么我还款没有反应	1
未满足审批要求，怎么回事	提示为不满足审批要求	1
你好，刚才我有借款，还没有到，可以取消吗？	你好!我想请问借的这个钱能用在什么用途?	0
2支持的银行	支持什么银行卡	1
微众银行怎么没有卡	你们推出信用卡业务吗	0
不是有电话确认，为什么还没来	但是我怕他来电我不方便接听	0
提前还款后面还有利息吗？	提前还款利息会降低吗	1
你好，我需要提供结清证明	你好，我将申请银行商业贷款，需要麻烦微粒贷帮我出示欠款已还清证明。	1
我手机上怎么没有开通微信贷	为什么我申请时出现身份信息输入错误次数过多	0
每期账单能提前还吗？	我现金贷都是提前还款，没资格开通微粒贷？	0
我上面根本没有微粒贷	开通微粒贷	0
现在昨进入不了	没借钱项目	0
想关闭	我想关闭这个功能	1
中信银行信用卡	借款信用卡	0
怎么开通微粒贷	我能申请吗	0
因为个人信息输入错误次数较多，无法借款怎么解决	为什么一真显示身体信息错误呢？	1
上一次借款全部还清后可以继续借款吗	#想问下还款完1笔后多久额度才会恢复	0
获取菜单	我想问问怎样才能微粒贷呢	0
微信绑。怎么还在维护中。	我的银行卡绑定人脸测试无论如何通不过	0
借款不能用于购房和证劵投资。是什么意思	人品值用途	0
我一直等着？	有电话吗？	0
电话审核什么时候一般申请之后	等待电话时间	1
你好，我已收到邀请，但要换苹果手机用，可以使用微粒贷吗	和微粒手机贷是一样的不	0
你们扣款失败了。	为什么扣款还没成功？	1
如何开具结清证明？	我问一下，我现在是分十个月还，如果我还了两个月以后想全都还清这个怎么算？	0
请问如何取消自动还款	正在自动还款中，能否取消手动还款	0
取消可以么	QQ里面微粒贷开通了怎么关闭	1
那个图标又不见了	就是微粒贷捆绑的农行卡丢了	0
怎么借贷如何还款利率多少	5000元每月利息多少	1
能一次性还清欠款吗？	还清之后还会再扣款吗？	0
1:看不到微粒贷款图标	为什么我的微粒贷有额度，但是借不了	0
绑定银行卡，对方银行处理失败	绑是什么？	0
一般几天放款	你们微贷多久可以到帐	1
不达审批条件	不符合条件的因素有哪些	1
你们这个微粒贷是要达到什么标准的，为什么有人的手机微信可以，有些又不行的呢	怎么我手机没这功能	1
我想开通微粒贷	微粒贷怎么贷	0
什么时候可以借钱啊，，半个月了	什么时候可以申请加入微贷	0
我有一笔借款昨天晚上借的电话打来的时候我没接到怎么就一直没电话确认了	我想问下，让等电话确认，一直也没有电话	1
你好，如果我还清贷款后怎么找你们开个证明啊	哪里去办结清证明	1
如何查看评分	怎样才能通过审批	0
一般钱什么时候可以到账呢！	一般什么时候电话审核	0
为什么我登录不了，说我网络有风险	微信QQ登陆不了	1
如何修改还款帐号	还款后，额度怎么没改变	0
为什么我还款了额度却没哟哟回复	QQ已经借款，那么微信上还可以借款吗	0
提前还清还可以再贷吗	可以提前还一部分嘛	0
如何关闭微粒贷	如何取消微信里面的微粒贷	1
几分钟内可以电话确认到账	借到钱后，客服多久会联系我	1
你们不扣咋	13号怎么不会自动扣款？	1
为什么我开不了户口的	为何开户失败	1
换卡不了怎么回事	你好！请问一下你我的扣扣号的银行卡换了怎样还款	0
我怎么识别录像都是失败，是不是你们系统出问题了，还是忽悠一下老百姓啊	为什么我绑卡老是不成功。	0
我还有最后一期就还完了，如果我现在还上最后一笔，能接着申请再贷吗	一次最高可以借4万，一天内有次数限制吗？或者说一天内有额度限制吗？	0
刚刚提交的贷款申请可以取消吗？	问一下我昨天借款，电话确认时我反悔了取消了借款，还可以再重新借款吗。	0
我的还款余额	在哪找到这个	0
结清记录	我现在已还清了吗？	0
借贷用途	微粒贷不可以用来购房吗	1
开通微粒贷要满足什么条件	Q龄够3年以上不是可以开通微粒贷的	1
资金没有发放	赶快开通	0
什么原因会造成评估不通过了，页面又有这个东西，又不让通过。	亲为什么我的审批不通过的	1
借款记录	我还款记录是否有逾期？	0
你好，我零钱能不能还	不再永微信支付	0
有人工电话吗？	客服电话是什么	1
坚决不买苹果了	iPhone7抢购骗人的？	0
怎么借款	怎么办理贷款啊？	1
为什么我的微粒贷未审核	一般审核时间是好多天？	0
.预留号码更改	更改了银行电话号码	1
今下午两点前可以存上钱。请抵扣，谢谢！	由于5点10分才存够钱，如何扣款	0
苹果手机怎么显示不了	预留手机号码不正确	0
我提前还款	我提前还款了为啥到了那个日期还要还一百多	0
不满足审核条件	不符合微众银行条件	1
为什么还款进去后就不能借了	什么银行不能还款？	0
二千一天多少息	10w月息多少？	0
怎么最多2000元	我的额度是20万，怎每次只能借4万，谢谢	1
你好，是零钱还，还是银行卡还？	qq零钱还款	0
提前还款了还可以借款吗	提前还清一笔借款后，多长时间可以在借款	0
为什么微粒贷必须分期付款啊	一期是多长时间是一天吗？	0
不借了取消借款	刚刚误操作进行了借款可以取消吗	1
下月一起还吧！这月工资还没发。	你好，因为正常的话我们明天发工资，但是因为明天是周日，银行休息，单位说工资推迟到周一发，所以我申请推迟一天还款可以吗	1
QQ上面找不到这个	QQ钱包里没有微粒贷，怎么开通？	1
、我想申请微粒贷	这个号码的微信可以申请	1
为什么我的个身份证输入不了，就显示身份证输入次数过多，无法借款	姓名和身份证后四位都没有输错怎么就跳出来说身份证信息输入错误过多无法借款？	1
十万呢分几期	可以分几期还	1
可以先还利息到期还本吗？	剩余欠款还有多少？	0
我额度有为什么贷不了	授信额度	0
为什么说不能查看额度	你好，我为什么不能查看额度啊	1
如何关闭这个	请问如何取消申请微粒贷	0
想查下帐单	今天有账单吗	1
无法绑卡	微信绑。怎么还在维护中。	1
无法查询额度	看不到借款额度	1
还款成功了吗？	我的还款扣了吗	0
30号申请了借款，今天1号了没有收到电话确认，你说呢？	2天还沒打电话来	1
就是这个月没还钱，逾期罚多少	罚息计算	1
什么时候会开放？	一直没收到电话啊	0
还本期账单	需要本月帐单	1
更换电话号码	我的预留手机号换了为什么还是以前的号码	0
假如我贷款五个月，我使用了一个月提前还款了，利息需要付款的多久，有违约金之类的罚款吗	借款后如分期20，想提前还款要这么操作	0
我找	你老板呢	1
不要	不用了，麻烦取消	1
我要取消微粒贷账户	我是刚申请的，现在要求取消	0
我手机钱包里怎么没有微粒贷？	没有微粒贷可以贷款吗	0
借款的时候是不是自己可以填写借多长时间，	微粒贷借款之后需要每月还吗？	0
我怎么没得微粒贷呢	那里贷款	0
6点后申请什么时候来电话	一般会间隔多久再次致电	0
关闭微粒贷怎么操作	如何关闭微粒贷账户	1
2如何代款	你好，在微粒贷款，咋贷的？？？？	1
解绑银行卡微粒贷也跟着没了怎么重新启用微粒贷	您好！请问微粒贷系统维护，什么时候恢复正常？谢谢！	0
1000元一天多少钱	1000一年多少钱	1
你好，零钱上的钱不好还吗？	你好，我能不能从微信余额中直接还款	1
逾期一天也会收罚款吗	现在逾期了几天现在怎么还款？	0
您好！以后我不再使用微粒贷，可以吗？	重新开通微粒贷客服QQ是多少	0
换手机号怎么改	电话号码换了怎么更改？	1
微众卡活期余额转出它行有没限额？	你好，请问国画月月盈提前赎回手续费是多少？	0
你好！我想问一下这个借款是按每天支付利息吗？什么时候换完了就不需要支付利息了，是这样吗	你好，借款的利息是借几天还几天吧	1
借款能取现金或转账吗	借款不可以提现吗	1
错过电话确认	要多久才知道审批是否通过	0
如何退贷	怎么样才能退出交易	0
QQ微粒贷	我想要微粒贷	0
借款是否可以用于还信用卡	借款可用于还还信用卡吗？	1
开户失败	怎么开不了户	1
开通条件	借款条件	1
借款审核未通过，什么原因	为什么审核未通过？	1
请问借款是不是每次仅限40000，那么每天借款次数有没限制，谢谢	第二次借款必须把第一次还了吗？	0
下个月18日我应该还多少	不能一次还款吗	0
为什么看不了额度	为何无法查看额度	1
我不理解微信钱包里找不到	为什么我的微信几个月前有“微粒贷”这个功能，现在没有了！	1
一般什么时候到帐	……我想问下多久能到	1
如何更改每个月的还款日期及金额？	可以把还款日期改一下吗	1
一般网申请确认后多久给我打电话	快点来电	1
一直在等待电话确认中可以取消借款么	借款后如何取消授信	0
提示未通过微信银行的审批要求是什么情况	为满足银行审批要求是什么意思？	1
多久会打电话过来	申请多久会打电话	1
不是号称闪电放款吗	微利贷未扣款	0
现在为什么我不能还款	为什么现在不能还钱呢	1
为什么评分不过啊	为我的是综合评分不足是什么意思	1
什么时候.才可以借款	什么时候就能贷了	1
我今天借，后天换，利息算几天？	我银行卡有钱，你们自己不扣，为什么显示我逾期？这样我的银行征信会有问题吗？	0
我想问问问贷款可以用来还信用卡吗	借的款可以用来还信用卡吗？	1
多少时间打电话	多少分钟才打电话过来认证？	1
可以用微信钱包里的零钱还款吗	可以用钱包里的余额还款吗	1
还款日的范围	那我今天借的钱，今天就是还款日，今天就算了吗	0
为什么我在申请的过程中，微服务发了两次验证码过来，开始不知道输错了，后来再申请为什么没有再发送验证码过来呢	为什么总会在支付密码和输入验证码来回循环	1
如何申请微粒贷	如何开通微粒贷	1
你好！还款是每月分期还吗	借款是按日算还是月	1
2天还沒打电话来	下午两点打的电话，现在银行还没打电话来确认	1
我的微粒贷怎么消失了	以前我钱包里面有显示微粒贷的现在怎么消失了？	1
一般多久时间电话确认？	一般什么时候电话审核	1
为满足你们的借款要求是什么意思	你们怎么不给我打电话	0
你好我可以向你部贷款吗？	你好，刚我申请了借款。	0
我20号的还款，怎么到现在也没扣款	我一直余额充足，却未扣款	1
还款日是多久	查询我的还款日期	1
为什么18号没有从银行卡自动扣钱	为什么到时间还未扣款	1
